Ano,0 a 500,1 a 1.5 mil,1.5 a 5 mil,10 a 20 mil,5 a 10 mil,500 a 1000,>= 20 mil
2001,3427,16340,27160,11643,12651,3776,2231
2002,2882,14080,27618,12537,12324,3511,2656
2003,4012,15766,28393,12484,13197,4157,3319
2004,3503,15529,35693,12111,11593,4768,5887
2005,3514,2912,43341,15090,11757,4526,5847
2006,2073,2776,47960,13514,9717,5106,11549
2007,2125,3956,49966,12645,12740,6015,12257
2008,2378,3899,56099,15742,10069,6913,13427
2009,4247,5731,60375,18575,11069,6730,14313
2010,7651,11700,73154,22736,8796,7682,15414
2011,6614,15997,74464,24894,10381,12652,17544
2012,11768,10912,77546,25739,9393,13735,23883
2013,11297,9558,80219,30500,8948,16224,28237
2014,15123,6680,79382,26132,11385,18244,36834
2015,15938,6052,81154,26565,10637,18655,36963
2016,10105,5212,70747,22792,9673,16459,21619
2017,30916,4852,40770,15889,14989,39593,14410
2018,12096,3630,69919,20916,6792,16462,18796
2019,11396,3349,70306,20889,6144,18818,18316
2020,13943,3711,72464,19537,5495,14198,17753
2021,18980,2210,46703,12404,13058,2703,385
