Ano,Orçamento,Executado
2000,292601588,238219654
2001,324562763,278093428
2002,377702254,239527228
2003,353383767,231342788
2004,434044436,323920552
2005,621162145,494098177
2006,691905449,581010679
2007,1004299396,442998052
2008,1239724612,547807746
2009,1301168119,698127509
2010,2190149718,876319134
2011,1865863041,646739814
2012,3027110136,875566134
2013,3502547307,896331289
2014,3051053656,928338974
2015,2797362737,896457221
2016,2335013589,955447124
2017,2183255676,1023896683
2018,2102005530,1032877291
2019,1978060238,771499215
2020,1773155441,637613003
2021,1732399935,415836863
2022,0,0
