NM_REGIAO,UF,AG_2010,AG_2019,Variação %,Sigla_UF
Centro-Oeste,Goiás,2431,35801,1372.7,GO
Norte,Roraima,303,3033,901.0,RR
Norte,Tocantins,2097,9733,364.1,TO
Norte,Amazonas,89933,393995,338.1,AM
Sudeste,Espírito Santo,70093,306439,337.2,ES
Centro-Oeste,Mato Grosso do Sul,1879,6766,260.1,MS
Nordeste,Sergipe,23225,53203,129.1,SE
Sul,Paraná,61807,135188,118.7,PR
Nordeste,Ceará,121165,243848,101.3,CE
Norte,Acre,10001,19148,91.5,AC
Norte,Rondônia,12605,23236,84.3,RO
Nordeste,Alagoas,36202,64568,78.4,AL
Nordeste,Paraíba,36380,64225,76.5,PB
Nordeste,Rio Grande do Norte,24165,41868,73.3,RN
Centro-Oeste,Distrito Federal,36504,62179,70.3,DF
Nordeste,Maranhão,91786,144625,57.6,MA
Nordeste,Bahia,302232,469677,55.4,BA
Norte,Amapá,23909,36835,54.1,AP
Sul,Rio Grande do Sul,86478,133021,53.8,RS
Sul,Santa Catarina,21769,32416,48.9,SC
Nordeste,Piauí,35127,50382,43.4,PI
Sudeste,São Paulo,748801,1066813,42.5,SP
Centro-Oeste,Mato Grosso,16472,22429,36.2,MT
Sudeste,Minas Gerais,171015,231385,35.3,MG
Norte,Pará,324596,432518,33.2,PA
Nordeste,Pernambuco,256088,327090,27.7,PE
Sudeste,Rio de Janeiro,617466,717326,16.2,RJ
