NM_REGIAO,UF,AG_2010,AG_2019,Variação %,Sigla_UF,Dif_2019
Sudeste,São Paulo,748801,1066813,42.5,SP,318012
Sudeste,Rio de Janeiro,617466,717326,16.2,RJ,99860
Nordeste,Bahia,302232,469677,55.4,BA,167445
Norte,Pará,324596,432518,33.2,PA,107922
Norte,Amazonas,89933,393995,338.1,AM,304062
Nordeste,Pernambuco,256088,327090,27.7,PE,71002
Sudeste,Espírito Santo,70093,306439,337.2,ES,236346
Nordeste,Ceará,121165,243848,101.3,CE,122683
Sudeste,Minas Gerais,171015,231385,35.3,MG,60370
Nordeste,Maranhão,91786,144625,57.6,MA,52839
Sul,Paraná,61807,135188,118.7,PR,73381
Sul,Rio Grande do Sul,86478,133021,53.8,RS,46543
Nordeste,Alagoas,36202,64568,78.4,AL,28366
Nordeste,Paraíba,36380,64225,76.5,PB,27845
Centro-Oeste,Distrito Federal,36504,62179,70.3,DF,25675
Nordeste,Sergipe,23225,53203,129.1,SE,29978
Nordeste,Piauí,35127,50382,43.4,PI,15255
Nordeste,Rio Grande do Norte,24165,41868,73.3,RN,17703
Norte,Amapá,23909,36835,54.1,AP,12926
Centro-Oeste,Goiás,2431,35801,1372.7,GO,33370
Sul,Santa Catarina,21769,32416,48.9,SC,10647
Norte,Rondônia,12605,23236,84.3,RO,10631
Centro-Oeste,Mato Grosso,16472,22429,36.2,MT,5957
Norte,Acre,10001,19148,91.5,AC,9147
Norte,Tocantins,2097,9733,364.1,TO,7636
Centro-Oeste,Mato Grosso do Sul,1879,6766,260.1,MS,4887
Norte,Roraima,303,3033,901.0,RR,2730
