,ANO_NOTIFICACAO,TXT_MES_NOTIFIC,0
0,2020,01. Janeiro,208
1,2020,02. Fevereiro,195
2,2020,03. Março,3000
3,2020,04. Abril,9230
4,2020,05. Maio,12223
5,2020,06. Junho,11498
6,2020,07. Julho,10309
7,2020,08. Agosto,8660
8,2020,09. Setembro,6886
9,2020,10. Outubro,6052
10,2020,11. Novembro,5005
11,2020,12. Dezembro,5396
12,2021,01. Janeiro,5843
13,2021,02. Fevereiro,5016
14,2021,03. Março,6154
15,2021,04. Abril,5323
16,2021,05. Maio,4762
17,2021,06. Junho,4442
18,2021,07. Julho,3973
19,2021,08. Agosto,2601
